class,precision,recall,f1-score,support
3AA,0.4,0.3333333333333333,0.36363636363636365,6.0
3CC,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
4AA,0.875,0.7777777777777778,0.8235294117647058,9.0
Cleavage,0.8,1.0,0.8888888888888888,4.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.6616071428571428,0.6944444444444444,0.6728598199186434,25.0
weighted avg,0.6761428571428572,0.68,0.6736578454225512,25.0
